,timestep,exchange,from,to
0,2022/09/17 22:00:00,0.0,AT,CZ
24,2022/09/17 22:00:00,0.0,AT,DE
48,2022/09/17 22:00:00,698.6,AT,HU
72,2022/09/17 22:00:00,685.9,AT,SI
96,2022/09/17 22:00:00,0.0,BE,DE
120,2022/09/17 22:00:00,2363.1,BE,FR
144,2022/09/17 22:00:00,8.8,BE,NL
168,2022/09/17 22:00:00,1275.0,CZ,AT
192,2022/09/17 22:00:00,153.9,CZ,DE
216,2022/09/17 22:00:00,198.8,CZ,PL
240,2022/09/17 22:00:00,594.7,CZ,SK
264,2022/09/17 22:00:00,1121.1,DE,AT
288,2022/09/17 22:00:00,805.7,DE,BE
312,2022/09/17 22:00:00,0.0,DE,CZ
336,2022/09/17 22:00:00,2991.6,DE,FR
360,2022/09/17 22:00:00,637.3,DE,NL
384,2022/09/17 22:00:00,44.8,DE,PL
408,2022/09/17 22:00:00,0.0,FR,BE
432,2022/09/17 22:00:00,0.0,FR,DE
456,2022/09/17 22:00:00,225.5,HR,HU
480,2022/09/17 22:00:00,212.8,HR,SI
504,2022/09/17 22:00:00,0.0,HU,AT
528,2022/09/17 22:00:00,0.0,HU,HR
552,2022/09/17 22:00:00,525.6,HU,RO
576,2022/09/17 22:00:00,0.0,HU,SI
600,2022/09/17 22:00:00,0.0,HU,SK
624,2022/09/17 22:00:00,0.0,NL,BE
648,2022/09/17 22:00:00,0.0,NL,DE
672,2022/09/17 22:00:00,0.0,PL,CZ
696,2022/09/17 22:00:00,0.0,PL,DE
720,2022/09/17 22:00:00,396.0,PL,SK
744,2022/09/17 22:00:00,0.0,RO,HU
768,2022/09/17 22:00:00,0.0,SI,AT
792,2022/09/17 22:00:00,0.0,SI,HR
816,2022/09/17 22:00:00,12.7,SI,HU
840,2022/09/17 22:00:00,0.0,SK,CZ
864,2022/09/17 22:00:00,1378.8,SK,HU
888,2022/09/17 22:00:00,0.0,SK,PL
912,2022/09/17 22:00:00,0.0,FR,ES
936,2022/09/17 22:00:00,3283.0,ES,FR
960,2022/09/17 22:00:00,0.0,DK1,DE
984,2022/09/17 22:00:00,1728.7,DE,DK1
