from,to,LTA,Flow,FlowFB,FlowLTA
AT,CZ,349,-9.999694753514452e-9,-9.999553474886074e-9,-9.999553756667522e-9
AT,HU,400,698.5999999940891,910.3387493491173,-8.861060283132297e-9
AT,SI,599,685.8999999968521,893.7895049860018,-8.478196584378709e-9
BE,DE,400,-9.99966521138319e-9,-9.999502965827614e-9,-9.999503228758094e-9
CZ,AT,300,1274.9999999934323,1570.5128551405335,90.92703237221386
CZ,DE,950,153.89999999797425,200.54556760020793,-4.815592840924231e-9
CZ,PL,0,198.79999999276143,259.05431343803775,-9.999615436631361e-9
CZ,SK,800,594.6999999910194,532.4756008268171,242.47208629802094
DE,BE,400,805.6999999962883,928.6636567411772,121.23604315723694
DE,CZ,320,-9.999675936512839e-9,-9.999533911568348e-9,-9.999534082004344e-9
DE,PL,0,44.799999994787186,58.378436831867,-9.999610649357182e-9
HU,AT,500,-9.99968272857843e-9,-9.999533682473218e-9,-9.99953328413749e-9
HU,SI,200,-9.999685034828775e-9,-9.99954229462671e-9,-9.999542188509204e-9
HU,SK,850,-9.999687319556106e-9,-9.999547838477089e-9,-9.999548230419106e-9
HU,HR,700,-9.9996977798379e-9,-9.999554558533011e-9,-9.999554365097278e-9
HU,RO,470,525.5999999999236,542.4518100069807,142.45235068748426
HR,HU,600,225.49999999186664,293.84681930157797,1.1365537888117128e-9
HR,SI,650,212.7999999946297,80.28900482725528,197.00857011275266
PL,CZ,0,-9.999701488712815e-9,-9.999448969125571e-9,-9.999668372036202e-9
PL,DE,0,-9.999694819379052e-9,-9.999405578219469e-9,-9.999663375906016e-9
PL,SK,0,395.99999999825786,516.0236827236481,-9.999561688453015e-9
RO,HU,630,-9.999660799426452e-9,-9.999515060640777e-9,-9.999515124206413e-9
SI,AT,599,-9.999674563379615e-9,-9.99952608767172e-9,-9.999525977970016e-9
SI,HR,650,-9.999688671359492e-9,-9.999544969301065e-9,-9.999544992297022e-9
SI,HU,200,12.69999999723698,16.549244365461025,-2.7520107903495854e-9
SK,CZ,700,-9.999585087980962e-9,-9.999284984754185e-9,-9.999331949639427e-9
SK,HU,850,1378.799999996502,1539.074049032129,257.62659168516757
SK,PL,0,-9.999705416424575e-9,-9.999445390191743e-9,-9.999672290168156e-9
AT,DE,4819,-9.999692045802054e-9,-9.99954839056396e-9,-9.999548480181069e-9
BE,NL,619,8.799999995000098,11.46719293247819,3.7183940378904345e-9
BE,FR,450,2363.099999995,2942.941685336117,136.39054855032006
DE,AT,4820,1121.099999995458,-9.064492637658657e-9,1460.8943199265364
DE,FR,1000,2991.5999999912883,3595.2342587925646,303.09010787833245
DE,NL,1081,637.2999999912884,502.81891910742524,327.6404066132294
FR,BE,1600,-9.999692802842106e-9,-9.999552010113113e-9,-9.99955205813759e-9
FR,DE,1170,-9.999681741152336e-9,-9.999521519209122e-9,-9.999522085831615e-9
NL,BE,619,-9.999693905992381e-9,-9.999555647310541e-9,-9.99955564371542e-9
NL,DE,1080,-9.999702642765848e-9,-9.999560309824375e-9,-9.999560339371093e-9
